,price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,fan,light,wardrobe,ac,bed,chimney,curtains,dining table,exhaust fan,geyser,modular kitchen,microwave,fridge,sofa,stove,tv,washing machine,water purifier,society,sector,city,landmarks
1781,1.93,3,4,3,1,high,212.28,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,microtek greenburg,86,gurgaon,"['ss omnia mall', ' national highway 8', ' national highway 8', ' dwarka expressway', ' sidheshwar school', ' dronacharya college of engineering', ' arc multi specialty hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' heritage village resort & spa', ' heritage village resort & spa', ' national tennis academy', ' national tennis academy']"
1782,1.42,3,3,2,0,high,178.37,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bestech park view sanskruti,92,gurgaon,"['sapphire 93 mall', ' dwarka expressway', ' imt manesar', ' western peripheral expressway', ' rps international school sector 89', ' rps international school sector 89', ' dpg institute of technology', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' de adventure park', ' national tennis academy sector 98', ' national tennis academy sector 98']"
1783,2.2,3,4,3,1,high,195.1,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,dlf the ultima,81,gurgaon,"['huda metro station (gurugram)', 'huda metro station (gurugram)', 'huda metro station (gurugram)', ' euro international school', ' euro international school', ' sgt university', ' miracles apollo cradle hospital', ' indira gandhi intl airport', ' garhi harsaru junction']"
1784,1.35,3,3,1,0,high,179.21,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,dlf the skycourt,86,gurgaon,"['sapphire 83 mall', ' imt manesar', ' rao bharat singh international school', ' rao bharat singh international school', ' dpg institute of technology', ' aarvy healthcare', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' holiday inn hotel sector 90', ' holiday inn hotel sector 90', ' national tennis academy sector 98', ' national tennis academy sector 98']"
1785,1.65,3,4,3,1,high,176.05,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,microtek greenburg,86,gurgaon,"['ss omnia mall', ' national highway 8', ' national highway 8', ' dwarka expressway', ' sidheshwar school', ' dronacharya college of engineering', ' arc multi specialty hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' heritage village resort & spa', ' heritage village resort & spa', ' national tennis academy', ' national tennis academy']"
1786,1.42,3,3,3,1,low,153.29,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,parsvnath green ville,48,gurgaon,"[' icici bank atm', ' icici bank atm', ' standard chartered atm', ' divine look clinic centre', ' divine look clinic centre', ' skin clinic', ' wellness eye centre', ' wellness eye centre', ' best urologist atcomplete family clinic', ' ekta hospital', ' sai heart and trauma center', ' sai heart and trauma center', ' sai dharamraj hospital', ' sanjeevani hospital gurgaon', ' vishesh dental', ' vishesh dental', ' sona devi memorial hospital and trauma centre', ' sona devi memorial hospital and trauma centre', ' sona devi memorial hospital and trauma centre', ' park hospital gurgaon', ' park hospital gurgaon', ' bones clinic - orthopaedics', ' meher clinic', ' gobind hospital', ' wembley estate club', ' gardian pharmacy', ' apollo pharmacy', ' kore tech park', ' spaze business park', ' spaze business park', ' india oil', ' srs cinemas', ' srs cinemas', ' icici bank', ' indusind bank', ' hdfc bank', ' hdfc bank', ' hdfc bank', ' central bank of india', ' union bank of india', ' state bank of india', ' icici bank', ' ""domino', ' starbucks', ' kamla international']"
1787,1.1,3,4,3,1,high,163.51,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,paras dews,106,gurgaon,"['mg road metro station', 'mg road metro station', ' neosquare shopping mall', ' dwarka expressway', ' glorious world school', ' dpg institute of technology', ' chirag hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' country inn & suites by radisson', ' skyjumper trampoline park', ' hamoni golf camp']"
1788,1.23,3,5,3,1,mid,185.53,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,pareena coban residences,99,gurgaon,"[' jms marine square mall', ' adarsh public school', ' basant lal memorial college', ' govt school', ' rishikul college', ' hdfc bank atm', ' hdfc bank atm', ' shri balaji hospital', ' shree krishna hospital', ' igi airport', ' yes bank', ' bank of baroda', ' bank of baroda', ' garhi harsaru junction', ' park inn', ' park inn']"
1789,1.5,3,3,3,1,low,178.37,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bestech park view sanskruti,92,gurgaon,"['sapphire 93 mall', ' dwarka expressway', ' imt manesar', ' western peripheral expressway', ' rps international school sector 89', ' rps international school sector 89', ' dpg institute of technology', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' de adventure park', ' national tennis academy sector 98', ' national tennis academy sector 98']"
1790,0.65,2,2,2,1,high,120.77,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
