price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,society,locality,furnishDetails,nearby_loc
0.45,2,2,1,0,high,58.11,carpet,new,adani aangan arcade,sector 88a gurgaon,"['1 modular kitchen', '2 wardrobe', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['reliance trends newtown square mall', 'pataudi rd, harsaru', 'euro intl school, sector 37d, gurugram', 'sgt university', 'genesis hospital', 'indira gandhi intl airport']"
0.85,3,2,2,0,high,120.77,built up,under construction,sare green parc,sector 92 gurgaon,,"['huda city centre metro station', 'iffco chowk metro station', 'axis bank atm', 'punjab national bank atm', 'hdfc atm', 'axis bank atm', 'citi bank atm', 'icici atm', 'citi bank atm', 'icici bank atm', 'centre for sight gurgaon sector 29', 'sangwan hospital gurgaon', 'shivam hospital gurgaon', 'umkal hospital', 'dr. kutbuddin akbary', 'max hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'community center sukhrali', 'gardian pharmacy', 'city medical', 'pizza hut', 'n', 'spaghetti kitchen & bar', 's pizza"", ""mcdonald', 'tocpao', 'zura', 'beer & whisky bar', 'the oriental bloom chinese and thai', 'gola sizzles', 'ardor 29', 'adda', 'gung the palace korean restaurant', 'walking street', 'mob ministory of beer', 'park baluchi', 'bikanervala', 'dhabba', 'black mambaa', 'gravity space bar', 'kfc', 'swagath', 'distillery', 'roots', 'cafe coffee day', '32nd milestone', 'pizza hut', 'management development institute', 'salvan public school']"
0.75,2,2,3,0,high,120.77,carpet,under construction,shree vardhman flora,sector 90 gurgaon,"['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['iris broadway mall', 'dwarka expressway', 'saraswati model school', 'sgt university', 'aarvy healthcare hospital', 'indira gandhi international airport', 'garhi harsaru junction', 'orchid business park', 'holiday inn gurugram sector 90', 'flying wings badminton academy']"
0.82,2,2,3,1,high,109.63,super built up,under construction,supertech hues,sector 68 gurgaon,,"['sri radhe krishna temple', 'icici bank atm', 'kamal hospital and maternity centre', 'gobind hospital', 'sona devi memorial hospital and trauma centre', 'sanjeevani hospital gurgaon', 'sai dharamraj hospital', 'sai heart and trauma center', 'ekta hospital', 'divine look clinic centre', 'skin clinic', 'kore tech park', 'spaze business park', 'icici bank', 'state bank of india', 'union bank of india', 'central bank of india', 'indusind bank', 'hdfc bank', 'srs cinemas', 'starbucks', 'nook', 's"", ""domino', 'india']"
1.8,3,3,2,1,high,188.59,super built up,old,chintels paradiso,sector 109 gurgaon,,"['gyaananda school', 'the northcap university', 'park hospital', 'igi airport', 'gurgaon station', 'wtc plaza', 'altrade business centre', 'radisson blu hotel']"
0.3,2,2,2,0,mid,60.85,super built up,new,breez global hill view,sohna,"['1 fan', '1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['huda city centre', 'omaxe city centre', 'ninex city mart', 'vaels ravindra bharathi global school', 'anjali nursery', 'polaris hospital', 'axis bank', 'triangular park', 'flow sports life badminton club', 'basai dhankot railway station', 'cars24', 'radisson hotel gurugram', 's"", ', ', ']"
0.78,2,2,3,0,low,126.81,super built up,old,ild greens,sector 37c gurgaon,"['2 wardrobe', '3 fan', '1 exhaust fan', '1 geyser', '10 light', '1 modular kitchen', '1 chimney', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['the esplanade mall', 'gurgaon road', 'delhi jaipur expressway', 'green field public school', 'sunrise university', 'k.d. hospital', 'indira gandhi international airport', 'gurgaon railway station', 'infinity business park']"
2.0,3,3,2,1,low,122.63,carpet,old,ansal sushant lok ci,sector 43 gurgaon,"['3 bed', '5 wardrobe', '6 fan', '1 sofa', '1 exhaust fan', '1 dining table', '3 geyser', '2 tv', '1 curtains', 'no ac', 'no chimney', 'no modular kitchen', 'no light', 'no microwave', 'no fridge', 'no stove', 'no washing machine', 'no water purifier']","['huda city centre metro station', 'sector 42-43 metro station', 'hanuman mandir', 'new life church', 'hdfc atm', 'standard chartered atm', 'hdfc bank atm', 'rbs atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'kotak mahindra bank atm', 'standard chartered atm', 'gupta', 'arihant hospital', 'paras hospital gurgaon', 'fortis memorial research institute fortis vivekanand hospital', 'dr. naval mendiratta', 'dr. kutbuddin akbary', 'max hospital', 'pernod ricard charitable dispensary', 'guardian pharmacy', 'chikitsa', 'gardian pharmacy', 'city medical', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'naveidyam', 'sagar ratna', 'cafe tonini', 'shophouse by kylin', 's jr."", ', ', ', ', ', ', ', ', ', ', ', ', ', ', ']"
0.74,2,2,3,0,high,112.41,carpet,new,ashiana mulberry,sohna,"['1 modular kitchen', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['discount department store', 'badshahpur sohna rd hwy, sohna rural', 'gd goenka university, gurugram', 'sohna public school pathane ware', 'vardaan hospital & trauma centre', 'indira gandhi intl airport']"
3.2,3,3,3,1,mid,185.99,carpet,new,godrej meridien,sector 106 gurgaon,[],"['huda metro station', 'gurgaon dreamz mall', 'dwarka expressway', 'delhi ajmer expressway', 'euro international school, sector- 109', 'the northcap university', 'metro hospital, palam vihar', 'gurgaon railway station', 'infinity business park']"
