price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
0.83,142.14,2,2,3,1,79,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,carpet,mid,new,supertech araville,gurgaon
0.83,104.05,3,2,2,0,33,8,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,carpet,low,new,signature global park,sohna
0.8,116.13,2,3,2,0,10,49,37,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,carpet,high,new,maxworth city residences,gurgaon
1.25,246.29,4,4,3,0,1,10,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,carpet,mid,old,deepak minda,manesar
0.23,42.74,1,1,1,0,21,48,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,carpet,low,new,shree shyam residency,gurgaon
0.3,41.81,1,1,1,0,84,15,2,0,0,0,0,0,1,5,1,0,0,1,1,1,0,0,0,0,0,carpet,high,new,pivotal devaan,gurgaon
1.55,145.86,3,4,1,1,33,13,0,0,0,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,super built up,low,new,unitech the residences,gurgaon
0.79,111.3,2,2,2,1,71,15,2,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,0,0,0,super built up,high,new,chd avenue 71,gurgaon
0.5,83.61,2,2,2,1,7,50,34,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,super built up,low,old,"gokuldham society, bahadurgarh",gurgaon
1.01,134.71,2,2,3,1,33,8,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,super built up,high,mid aged,silverglades the melia,sohna
0.95,176.24,4,5,3,1,92,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,super built up,mid,old,sare crescent parc royal greens phase 1,gurgaon
0.99,117.06,2,2,2,0,77,10,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,super built up,low,new,umang winter hills,gurgaon
1.1,160.26,3,3,3,0,37,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,super built up,mid,mid aged,ramprastha skyz,gurgaon
1.9,204.39,4,4,3,0,67,11,1,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,super built up,low,new,4s aradhya homes,gurgaon
1.0,174.19,3,3,3,0,37,9,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,super built up,mid,under construction,ild greens,gurgaon
2.5,209.03,3,3,3,0,57,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,super built up,high,old,bptp freedom park life,gurgaon
1.1,98.16,2,2,2,0,3,11,1,0,0,1,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,super built up,high,mid aged,godrej habitat,gurgaon
