,sector,society
228,sector 39,kw royal court
229,sector 39,hector trimurti heights
230,sector 39,milan cghs 9
231,sector 4,huda ashok vihar phase 1
232,sector 4,not applicable
233,sector 4,housing apna enclave
234,sector 4,"ganpati apartment  2, laxman vihar phase 1"
235,sector 4,cancon enclave
236,sector 4,builder floor
237,sector 4,shri ram apartments
238,sector 4,shreeram apartment ii
239,sector 4,apna enclave
240,sector 40,lig flat
241,sector 41,south city 1 floors
242,sector 41,unitech the palms
243,sector 43,bhawna cghs
244,sector 43,ansal sushant lok ci
245,sector 43,sushant lok 1 builder floors
246,sector 43,kamroon court
247,sector 43,ansal maple heights
248,sector 43,ansal maple crescent
249,sector 43,beverley park 1
250,sector 43,millenium bajrang society
251,sector 43,the rama apartment cghs
252,sector 43,surbhi apartment
253,sector 43,the ivy
254,sector 43,silverglades hightown residences
255,sector 43,sanskriti apartments
256,sector 45,cghs agrim apartment
257,sector 45,unitech greenwood city
258,sector 45,antriksh green
259,sector 47,malibu towne
260,sector 47,unitech uniworld gardens 2
261,sector 47,unitech uniworld gardens
262,sector 47,cghs airport apartment
263,sector 47,malibu towers
264,sector 47,irwo westend towers
265,sector 48,central park resort belgravia residences
266,sector 48,central park resorts
267,sector 48,bestech park view city
268,sector 48,parsvnath green ville
269,sector 48,vipul world
270,sector 48,central park 2 bellevue
271,sector 48,belgravia resort residences
272,sector 48,kibithu villas
273,sector 48,vipul world floors
274,sector 49,bestech park view city 2
275,sector 49,orchid petals
276,sector 49,vatika city
277,sector 49,awho sispal vihar
278,sector 49,satya element one
279,sector 49,element one service
280,sector 5,om apartment dayanand colony
281,sector 50,the close north
282,sector 50,the close south
283,sector 50,eros wembley estate
284,sector 50,unitech fresco
285,sector 50,unitech harmony
286,sector 50,the penthouses at the hibiscus
287,sector 50,ss hibiscus
288,sector 50,woodstock floors
289,sector 51,citizen apartment
290,sector 51,orchid island
291,sector 51,the arzoo cghs
292,sector 51,housing board colony
293,sector 51,samaspurkunj
294,sector 52,ardee city
295,sector 52,friends apartment
296,sector 52,pgr shree kripaluji apartment
297,sector 52,shree kirpalu gi sector 52
298,sector 52,ansal api sushant estate
299,sector 52,green homes
300,sector 52,huda housing board society
301,sector 52,residency grand
302,sector 52,ramshanti cooperative society
303,sector 53,tulip monsella
304,sector 53,parsvnath exotica
305,sector 53,vipul belmonte
306,sector 54,jmd empire
307,sector 54,suncity heights
308,sector 54,dlf the grove
309,sector 54,dlf carlton estate
310,sector 54,la lagune
311,sector 54,swarn jayanti cghs
312,sector 54,shree arihant apartment
313,sector 54,dlf the crest
314,sector 54,dlf the icon
315,sector 54,sunischit apartments
316,sector 54,dlf wellington estate
317,sector 54,dlf exclusive floors
318,sector 54,dlf trinity towers
319,sector 54,dlf park place
320,sector 54,dlf the belaire
321,sector 54,new sathi apartments
322,sector 54,dlf icon
323,sector 54,dlf royalton tower
324,sector 55,siddhi vinayak apartments
325,sector 55,sidhivinayak apartments
326,sector 56,park royal apartment
327,sector 56,sukhshanti apartment
328,sector 56,the lions cghs
329,sector 56,kiran residency
330,sector 56,shri banke bihari society
