area_sqm,bedroom,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city,price_cr
150.04,3.0,3.0,3.0,0.0,sector 110,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,mahindra aura,gurgaon,1.82
55.56,2.0,2.0,1.0,0.0,sector 81,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,signature global synera,gurgaon,0.624
128.48,2.0,2.0,3.0,0.0,sector 79,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,super built up,mid,new,godrej 101,gurgaon,1.534
146.69,3.0,2.0,2.0,1.0,sector 113,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,la vida by tata housing,gurgaon,2.47
226.31,3.0,3.0,3.0,1.0,sector 67,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,old,ireo victory valley,gurgaon,3.835
168.25,3.0,3.0,3.0,1.0,sector 37,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,bptp terra,gurgaon,1.95
69.68,2.0,2.0,0.0,0.0,sector 103,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,high,under construction,signature global grand iva,gurgaon,0.65
154.22,3.0,2.0,3.0,0.0,sector 81,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,bestech park view ananda,gurgaon,1.495
41.81,1.0,1.0,1.0,0.0,sector 49,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,low,new,satya element one,gurgaon,1.131
315.87,4.0,5.0,3.0,1.0,sector 110,15.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,indiabulls enigma,gurgaon,4.8100000000000005
114.74,2.0,2.0,2.0,1.0,sector 63,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,carpet,low,mid aged,signature global city 63a,gurgaon,1.82
176.52,3.0,3.0,3.0,1.0,sector 83,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,emaar palm gardens,gurgaon,2.249
90.88,2.0,3.0,3.0,1.0,sector 108,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,high,new,experion the heartsong,gurgaon,1.274
311.23,4.0,4.0,3.0,0.0,sector 110,15.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,high,new,indiabulls enigma,gurgaon,5.2
121.7,2.0,2.0,0.0,0.0,sector 113,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,mid,under construction,m3m capital,gurgaon,2.379
282.7,3.0,4.0,3.0,1.0,sector 65,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,super built up,high,old,m3m golfestate,gurgaon,6.422000000000001
137.5,3.0,2.0,3.0,0.0,sector 86,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,high,new,microtek greenburg,gurgaon,1.885
167.23,3.0,3.0,2.0,0.0,sector 9,45.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,super built up,low,old,the khushboo cooperative housing society ltd,gurgaon,1.144
169.83,3.0,3.0,3.0,0.0,sector 65,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,m3m heights,gurgaon,4.277
174.66,3.0,2.0,3.0,0.0,sector 109,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,old,sbtl caladium,gurgaon,1.6900000000000002
124.95,3.0,3.0,3.0,1.0,sector 43,45.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,super built up,low,old,ansal maple crescent,gurgaon,1.755
167.13,3.0,3.0,3.0,1.0,sector 82,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,old,dlf the primus,gurgaon,2.431
260.13,3.0,5.0,2.0,1.0,sector 112,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,low,new,experion windchants,gurgaon,4.745
168.15,3.0,3.0,3.0,1.0,sector 81,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,bestech park view ananda,gurgaon,1.885
176.24,4.0,5.0,3.0,1.0,sector 92,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,old,sare crescent parc royal greens phase 1,gurgaon,1.235
78.5,2.0,2.0,2.0,1.0,sector 33,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,mid,new,signature global park,sohna,0.7020000000000001
116.78,2.0,2.0,2.0,0.0,sector 81,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,carpet,mid,old,vipul lavanya,gurgaon,0.975
45.43,2.0,2.0,2.0,0.0,sector 107,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,mid,new,signature global solera,gurgaon,0.364
